Módulo,Sub-Modulo,Pantalla,"Mejora, característica, corrección etc.",Estado,Prioridad
Testing,E2E,n/a,Tests E2E automatizados,Sin Comenzar,Media
Backend,Logs,n/a,Logs en formato Prometheus,Sin Comenzar,Media
DevOps,Monitoreo,n/a,Visualización con Grafana,Sin Comenzar,Media
Testing,Unitarios,n/a,Tests unitarios con tags a requerimientos,Sin Comenzar,Media
Backend,Base de Datos,n/a,Flyway para migración y versionado de base de datos,Sin Comenzar,Media
DevOps,Despliegue,n/a,Configurar Kubernetes (K8s),Sin Comenzar,Baja
DevOps,Seguridad,n/a,Configurar HTTPS/TLS,Sin Comenzar,Baja
DevOps,Monitoreo,n/a,Setup monitoreo Prometheus/Grafana,Sin Comenzar,Baja
DevOps,Backup,n/a,Backup automatizado PostgreSQL,Sin Comenzar,Baja
Documentación,Swagger,n/a,Documentar todos los endpoints en Swagger,Sin Comenzar,Baja
Documentación,Markdown,n/a,Migrar documentación original a Markdown,Sin Comenzar,Baja
Documentación,Instalación,n/a,Crear guía de instalación para producción,Sin Comenzar,Baja
Documentación,Arquitectura,n/a,Documentar arquitectura del sistema,Sin Comenzar,Baja
Documentación,Usuario,n/a,Crear manual de usuario,Sin Comenzar,Baja
