Nombre Entidad,Tipo Entidad,Atributo,Clave,Null?,Tipo_Dato,PK,FK,NULL,Observaciones
plantilla_tramites,Asociativa,fk_id_tipo_documento,PK,no,Entero,x,x,,Tipo de documento/certificado requerido
plantilla_tramites,Asociativa,observaciones,,si,Texto,,,x,Condiciones específicas del documento para este trámite
plantilla_tramites,Asociativa,version,,no,Entero,,,,Control de concurrencia optimista
tramites,Fuerte,id_tramite,PK,no,Entero,x,,,Identificador único del trámite particular
tramites,Fuerte,numero,,si,Entero,,,x,Número de trámite dentro del sistema (V13 opcional)
tramites,Fuerte,nombre,,si,Texto,,,x,Descripción sucinta o carátula del trámite (V13 opcional)
tramites,Fuerte,observaciones,,si,Texto,,,x,Observaciones operativas del trámite
tramites,Fuerte,fk_id_tipo_tramite,FK,no,Entero,,x,,Tipo de trámite notarial que determina reglas y requisitos
tramites,Fuerte,fk_id_gestion,FK,si,Entero,,x,x,Carpeta de gestión contenedora (nula en protocolo auxiliar)
tramites,Fuerte,fk_id_escritura,FK,si,Entero,,x,x,Escritura notarial generada para instrumentar el acto
tramites,Fuerte,fk_id_presupuesto,FK,si,Entero,,x,x,Presupuesto económico base (V14: relación 1:N canonical)
tramites,Fuerte,fk_id_inmueble,FK,si,Entero,,x,x,Inmueble objeto del acto notarial (si aplica)
tramites,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
tramites_personas,Asociativa,fk_id_tramite,PK,no,Entero,x,x,,Trámite en el que interviene la persona
tramites_personas,Asociativa,fk_id_persona_cliente,PK,no,Entero,x,x,,Persona física o jurídica interviniente
tramites_personas,Asociativa,observaciones,,no,Texto,,,,Rol de la parte (Otorgante Beneficiario Comprador Vendedor etc.)
tramites_personas,Asociativa,version,,no,Entero,,,,Control de concurrencia optimista
inmuebles,Fuerte,id_inmueble,PK,no,Entero,x,,,Identificador único del inmueble
inmuebles,Fuerte,nomenclatura,,si,Texto,,,x,Nomenclatura catastral municipal/provincial
inmuebles,Fuerte,matricula,,si,Texto,,,x,Matrícula del Registro de la Propiedad Inmueble
inmuebles,Fuerte,valuacion_anio,,si,Entero,,,x,Año de la valuación fiscal
inmuebles,Fuerte,valuacion_fiscal,,si,Real,,,x,Monto de la valuación fiscal oficial
inmuebles,Fuerte,partida,,si,Entero,,,x,Número de partida inmobiliaria
inmuebles,Fuerte,circunscripcion,,si,Texto,,,x,Circunscripción catastral
inmuebles,Fuerte,seccion,,si,Texto,,,x,Sección catastral
inmuebles,Fuerte,zona,,si,Texto,,,x,Zona o radio catastral
inmuebles,Fuerte,manzana,,si,Texto,,,x,Manzana catastral
inmuebles,Fuerte,parcela,,si,Texto,,,x,Parcela catastral
inmuebles,Fuerte,poligono,,si,Texto,,,x,Polígono catastral
inmuebles,Fuerte,unidad_funcional,,si,Texto,,,x,Unidad funcional en propiedad horizontal
inmuebles,Fuerte,domicilio,,si,Texto,,,x,Ubicación física / Domicilio del inmueble
inmuebles,Fuerte,localidad,,si,Texto,,,x,Localidad de radicación del inmueble
inmuebles,Fuerte,observaciones,,si,Texto,,,x,Linderos medidas y notas catastrales
inmuebles,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
tipos_de_documento,Fuerte,id_tipo_documento,PK,no,Entero,x,,,Identificador único del tipo de certificado o documento
tipos_de_documento,Fuerte,nombre,,no,Texto,,,,Nombre del documento (Certificado de Dominio Inhibición Libre Deuda etc.)
tipos_de_documento,Fuerte,devuelto,,no,Lógico,,,,Indica si el documento original debe ser devuelto al cliente
tipos_de_documento,Fuerte,vence,,no,Lógico,,,,Indica si el documento tiene fecha de vencimiento legal
tipos_de_documento,Fuerte,dias_vencimiento,,si,Entero,,,x,Días de vigencia legal desde su emisión
tipos_de_documento,Fuerte,importe_a_pagar,,si,Real,,,x,Arancel o tasa estándar asociada al documento
tipos_de_documento,Fuerte,habilitado,,no,Lógico,,,,Indica si se encuentra disponible para asociar en plantillas
tipos_de_documento,Fuerte,quien_entrega,,no,Texto,,,,Origen del documento (Cliente o Entidad Externa)
tipos_de_documento,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
documentos_presentados,Débil,id_documento_presentado,PK,no,Entero,x,,,Identificador único del ejemplar presentado en el trámite
documentos_presentados,Débil,nombre,,no,Texto,,,,Denominación del documento
documentos_presentados,Débil,numero_carton,,si,Entero,,,x,Número de cartón o control de mesa de entrada externa
documentos_presentados,Débil,fecha_ingreso,,si,Fecha,,,x,Fecha en que la escribanía solicita o ingresa el documento
documentos_presentados,Débil,fecha_salida,,si,Fecha,,,x,Fecha en que el organismo externo devuelve el documento
documentos_presentados,Débil,preparado,,no,Lógico,,,,Indica si fue redactado/preparado en la escribanía
documentos_presentados,Débil,vence,,no,Lógico,,,,Indica si el documento vence
documentos_presentados,Débil,fecha_vencimiento,,si,Fecha,,,x,Fecha de vencimiento calculada o informada
documentos_presentados,Débil,dias_vencimiento,,si,Entero,,,x,Días de vencimiento
documentos_presentados,Débil,importe_a_pagar,,si,Real,,,x,Monto real a pagar de sellado arancel o tasa
documentos_presentados,Débil,fecha_pago,,si,Fecha,,,x,Fecha en que se abonó la tasa o sellado
documentos_presentados,Débil,liberado,,no,Lógico,,,,Indica si se encuentra libre de gravamen o deuda
documentos_presentados,Débil,fecha_liberado,,si,Fecha,,,x,Fecha de certificación de liberación de deuda
documentos_presentados,Débil,observado,,no,Lógico,,,,Indica si el documento fue observado con objeciones
documentos_presentados,Débil,observaciones,,si,Texto,,,x,Detalle de observaciones o subsanaciones requeridas
documentos_presentados,Débil,entregado,,si,Lógico,,,x,Indica si ya fue entregado a la entidad u organismo
documentos_presentados,Débil,reingresado,,si,Lógico,,,x,Indica si debió reingresarse tras subsanación (V6 nullable)
documentos_presentados,Débil,quien_entrega,,no,Texto,,,,Cliente o Entidad Externa
documentos_presentados,Débil,fk_id_tramite,FK,si,Entero,,x,x,Trámite al que pertenece (V6: opcional)
documentos_presentados,Débil,fk_id_tipo_documento,FK,si,Entero,,x,x,Tipo de documento maestro
documentos_presentados,Débil,version,,no,Entero,,,,Control de concurrencia optimista
conceptos,Fuerte,id_concepto,PK,no,Entero,x,,,Identificador único del concepto arancelario
conceptos,Fuerte,nombre,,no,Texto,,,,Denominación del honorario gasto sellado o tasa
conceptos,Fuerte,valor,,no,Real,,,,Monto fijo por defecto en moneda de curso legal
conceptos,Fuerte,porcentaje,,no,Entero,,,,Porcentaje aplicable sobre el monto de la operación
conceptos,Fuerte,habilitado,,no,Lógico,,,,Indica si el concepto está activo para cotizaciones
conceptos,Fuerte,concepto_fijo,,no,Lógico,,,,Verdadero si es monto fijo Falso si es porcentual
conceptos,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
plantilla_presupuestos,Asociativa,fk_id_tipo_tramite,PK,no,Entero,x,x,,Tipo de trámite presupuestado
plantilla_presupuestos,Asociativa,fk_id_concepto,PK,no,Entero,x,x,,Concepto incluido por defecto en el presupuesto
plantilla_presupuestos,Asociativa,observaciones,,si,Texto,,,x,Condición especial de cómputo del concepto
plantilla_presupuestos,Asociativa,version,,no,Entero,,,,Control de concurrencia optimista
presupuestos,Fuerte,id_presupuesto,PK,no,Entero,x,,,Identificador único y número de presupuesto
presupuestos,Fuerte,numero,,no,Entero,,,,Número correlativo visible del presupuesto
presupuestos,Fuerte,fecha,,no,Fecha,,,,Fecha de confección de la cotización
presupuestos,Fuerte,encabezado,,no,Texto,,,,Título o referencia del presupuesto notarial
presupuestos,Fuerte,observaciones,,si,Texto,,,x,Notas de condiciones comerciales o pagos
presupuestos,Fuerte,estado,,no,Texto,,,,Estado del presupuesto (Emitido Aceptado Rechazado Cancelado)
presupuestos,Fuerte,monto_inmueble,,si,Real,,,x,Base imponible o valor de la operación inmobiliaria
presupuestos,Fuerte,fk_id_persona,FK,no,Entero,,x,,Cliente titular al cual se le emite el presupuesto
presupuestos,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
items,Débil,id_item,PK,no,Entero,x,,,Identificador único del ítem presupuestado
items,Débil,nombre,,no,Texto,,,,Concepto o servicio liquidado en la línea
items,Débil,valor,,no,Real,,,,Monto monetario resultante de la línea
items,Débil,porcentaje,,no,Entero,,,,Porcentaje aplicado para el cálculo
items,Débil,concepto_fijo,,no,Lógico,,,,Indica si se calculó como importe fijo o porcentual
items,Débil,observaciones,,si,Texto,,,x,Detalle justificativo de la partida arancelaria (V3/V4)
items,Débil,fk_id_presupuesto,FK,no,Entero,,x,,Presupuesto al que pertenece el desglose
items,Débil,version,,no,Entero,,,,Control de concurrencia optimista
pagos,Débil,id_pago,PK,no,Entero,x,,,Identificador único del recibo de pago
pagos,Débil,fecha,,no,Fecha,,,,Fecha en que se efectuó el pago
pagos,Débil,monto,,no,Real,,,,Importe cancelado en la entrega
pagos,Débil,observaciones,,si,Texto,,,x,Medio de pago (efectivo transferencia etc.) o constancia
pagos,Débil,fk_id_presupuesto,FK,no,Entero,,x,,Presupuesto sobre el cual se imputa el cobro
pagos,Débil,version,,no,Entero,,,,Control de concurrencia optimista
escrituras,Fuerte,id_escritura,PK,no,Entero,x,,,Identificador único de la escritura pública
escrituras,Fuerte,numero,,no,Entero,,,,Número correlativo anual de escritura dentro del protocolo
escrituras,Fuerte,fecha_escrituracion,,no,Fecha,,,,Fecha de otorgamiento y celebración del acto
escrituras,Fuerte,cuerpo,,no,Texto,,,,Texto matriz protocolar completo de la escritura
escrituras,Fuerte,estado,,no,Texto,,,,Estado de la escritura (Preparada Firmada No Pasó Errose)
escrituras,Fuerte,matricula_inscripcion,,si,Texto,,,x,Número o matrícula registral definitiva
escrituras,Fuerte,fecha_inscripcion,,si,Fecha,,,x,Fecha de inscripción en el Registro de la Propiedad
escrituras,Fuerte,observaciones,,si,Texto,,,x,Notas notariales marginales o atestados
escrituras,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
tipos_de_folio,Fuerte,id_tipo_folio,PK,no,Entero,x,,,Identificador único del tipo de folio
tipos_de_folio,Fuerte,nombre,,no,Texto,,,,Tipo (Protocolo Principal Protocolo Auxiliar Testimonio)
tipos_de_folio,Fuerte,observaciones,,si,Texto,,,x,Detalle y notas del tipo de folio (V3/V4)
tipos_de_folio,Fuerte,habilitado,,no,Lógico,,,,Indica si el tipo de folio está activo (V3/V4)
tipos_de_folio,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
folios,Fuerte,id_folio,PK,no,Entero,x,,,Identificador interno de la hoja de protocolo
folios,Fuerte,numero,,no,Entero,,,,Número correlativo impreso provisto por el Colegio
folios,Fuerte,anio,,no,Entero,,,,Año notarial del protocolo al que pertenece
folios,Fuerte,estado,,no,Texto,,,,Estado del folio (Disponible Usado Errose No Pasó)
folios,Fuerte,observaciones,,si,Texto,,,x,Anotación de contingencia o utilización
folios,Fuerte,fk_id_persona_escribano,FK,no,Entero,,x,,Escribano titular del registro y receptor del lote
folios,Fuerte,fk_id_tipo_folio,FK,no,Entero,,x,,Tipo de folio asignado
folios,Fuerte,fk_id_escritura,FK,si,Entero,,x,x,Escritura donde quedó asentado el folio
folios,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
testimonios,Débil,id_testimonio,PK,no,Entero,x,,,Identificador único del testimonio expedido
testimonios,Débil,numero,,no,Entero,,,,Número de testimonio (Primer Segundo etc.)
testimonios,Débil,fecha_inscripcion,,si,Fecha,,,x,Fecha de toma de razón en organismo registral
testimonios,Débil,fecha_retiro,,si,Fecha,,,x,Fecha en que el cliente o apoderado retira el testimonio
testimonios,Débil,fecha_ingreso_libro,,si,Fecha,,,x,Fecha de ingreso en libro de entregas
testimonios,Débil,numero_carpeta,,si,Entero,,,x,Número de carpeta registral
testimonios,Débil,numero_expediente,,si,Entero,,,x,Número de expediente registral
testimonios,Débil,observado,,no,Lógico,,,,Indica si el testimonio tiene observaciones (V3/V4)
testimonios,Débil,reingresado,,no,Lógico,,,,Indica si debió reingresarse por observaciones
testimonios,Débil,observaciones,,si,Texto,,,x,Notas de registración o despacho
testimonios,Débil,fk_id_escritura,FK,no,Entero,,x,,Escritura matriz de la que se expide el testimonio
testimonios,Débil,version,,no,Entero,,,,Control de concurrencia optimista
movimientos_testimonio,Débil,id_movimiento_testimonio,PK,no,Entero,x,,,Identificador único del movimiento registral (V5)
movimientos_testimonio,Débil,fecha_ingreso,,no,Fecha,,,,Fecha de ingreso del movimiento (V5)
movimientos_testimonio,Débil,fecha_salida,,si,Fecha,,,x,Fecha de salida de la escribanía hacia el Registro (V5)
movimientos_testimonio,Débil,fecha_inscripcion,,si,Fecha,,,x,Fecha de inscripción efectiva (V5)
movimientos_testimonio,Débil,inscripta,,no,Lógico,,,,Indica si la inscripción concluyó exitosamente (V5)
movimientos_testimonio,Débil,numero_carton,,no,Entero,,,,Número de cartón o recibo de mesa de entrada (V5)
movimientos_testimonio,Débil,observaciones,,si,Texto,,,x,Detalle del despacho o trámite registral
movimientos_testimonio,Débil,fk_id_testimonio,FK,no,Entero,,x,,Testimonio objeto del movimiento
movimientos_testimonio,Débil,version,,no,Entero,,,,Control de concurrencia optimista
copias,Débil,id_copia,PK,no,Entero,x,,,Identificador único del ejemplar de copia
copias,Débil,numero,,no,Entero,,,,Número correlativo de copia emitida
copias,Débil,fecha_impresion,,no,Fecha,,,,Fecha de impresión de la copia certificada
copias,Débil,fecha_retiro,,si,Fecha,,,x,Fecha en que la copia fue entregada al interesado
copias,Débil,observaciones,,si,Texto,,,x,Persona que retira o constancia de entrega
copias,Débil,fk_id_testimonio,FK,no,Entero,,x,,Testimonio matriz del cual se copió
copias,Débil,fk_id_persona,FK,no,Entero,,x,,Persona o parte a quien se le emite la copia
copias,Débil,version,,no,Entero,,,,Control de concurrencia optimista
folios_copias,Asociativa,fk_id_folio,PK,no,Entero,x,x,,Folio especial de testimonio utilizado en la copia
folios_copias,Asociativa,fk_id_copia,PK,no,Entero,x,x,,Copia conformada por el folio
folios_copias,Asociativa,version,,no,Entero,,,,Control de concurrencia optimista
